,000300.SH,,,000905.SH,,,000016.SH,,,000852.SH,,
,CSI 300 dividend yield,CSI 300,CSI 300 dividend,CSI 500 dividend yield,CSI 500,CSI 500 dividend,SSE 50 dividend yield,SSE 50,SSE 50 dividend,CSI 1000 dividend yield,CSI 1000,CSI 1000 dividend
2013/6/13,2.51 ,2399.94 ,60.31 ,1.24 ,3515.05 ,43.70 ,2.99 ,1700.80 ,50.89 ,0.00 ,3887.75 ,0.00 
2013/6/14,2.50 ,2416.77 ,60.41 ,1.22 ,3584.98 ,43.77 ,2.99 ,1704.15 ,50.92 ,0.00 ,3975.52 ,0.00 
2013/6/17,2.50 ,2403.84 ,60.20 ,1.22 ,3593.37 ,43.86 ,2.99 ,1692.48 ,50.64 ,0.00 ,3996.34 ,0.00 
2013/6/18,2.50 ,2418.75 ,60.50 ,1.22 ,3605.76 ,44.01 ,2.98 ,1704.22 ,50.81 ,0.00 ,4005.14 ,0.00 
2013/6/19,2.60 ,2400.77 ,62.33 ,1.23 ,3583.30 ,44.17 ,3.14 ,1687.61 ,53.04 ,0.00 ,3987.30 ,0.00 
2013/6/20,2.72 ,2321.47 ,63.19 ,1.28 ,3465.00 ,44.19 ,3.32 ,1631.55 ,54.15 ,0.00 ,3860.89 ,0.00 
2013/6/21,2.75 ,2317.39 ,63.78 ,1.29 ,3446.48 ,44.33 ,3.34 ,1633.16 ,54.47 ,0.00 ,3833.82 ,0.00 
2013/6/24,2.90 ,2171.21 ,63.03 ,1.37 ,3232.96 ,44.36 ,3.51 ,1525.17 ,53.57 ,0.00 ,3604.75 ,0.00 
2013/6/25,2.92 ,2165.42 ,63.16 ,1.38 ,3219.13 ,44.49 ,3.52 ,1526.80 ,53.70 ,0.00 ,3602.57 ,0.00 
2013/6/26,2.96 ,2168.30 ,64.22 ,1.35 ,3285.82 ,44.34 ,3.63 ,1509.68 ,54.82 ,0.00 ,3697.96 ,0.00 
2013/6/27,2.97 ,2160.74 ,64.09 ,1.37 ,3233.22 ,44.25 ,3.61 ,1512.20 ,54.62 ,0.00 ,3625.68 ,0.00 
2013/6/28,2.92 ,2200.64 ,64.23 ,1.37 ,3235.98 ,44.33 ,3.54 ,1552.38 ,54.97 ,0.00 ,3602.11 ,0.00 
2013/7/1,2.87 ,2213.32 ,63.49 ,1.39 ,3304.59 ,46.08 ,3.48 ,1549.37 ,53.90 ,0.00 ,3693.60 ,0.00 
2013/7/2,2.85 ,2221.98 ,63.36 ,1.38 ,3359.05 ,46.29 ,3.46 ,1541.34 ,53.36 ,0.00 ,3769.93 ,0.00 
2013/7/3,2.88 ,2203.83 ,63.49 ,1.37 ,3364.18 ,46.18 ,3.49 ,1522.91 ,53.10 ,0.00 ,3780.60 ,0.00 
2013/7/4,2.93 ,2221.98 ,65.14 ,1.36 ,3390.49 ,46.10 ,3.61 ,1535.32 ,55.39 ,0.00 ,3795.61 ,0.00 
2013/7/5,2.94 ,2226.85 ,65.41 ,1.36 ,3371.53 ,46.00 ,3.63 ,1542.05 ,55.99 ,0.00 ,3756.33 ,0.00 
2013/7/8,3.00 ,2163.62 ,64.95 ,1.42 ,3240.48 ,45.95 ,3.69 ,1506.73 ,55.58 ,0.00 ,3620.65 ,0.00 
2013/7/9,2.99 ,2162.67 ,64.71 ,1.42 ,3259.91 ,46.14 ,3.68 ,1505.30 ,55.36 ,0.00 ,3650.70 ,0.00 
2013/7/10,2.93 ,2224.07 ,65.20 ,1.38 ,3361.40 ,46.55 ,3.61 ,1546.74 ,55.87 ,0.00 ,3751.05 ,0.00 
2013/7/11,2.84 ,2326.69 ,65.99 ,1.35 ,3455.88 ,46.57 ,3.49 ,1635.66 ,57.16 ,0.00 ,3832.03 ,0.00 
2013/7/12,2.89 ,2275.37 ,65.79 ,1.36 ,3425.14 ,46.54 ,3.57 ,1587.59 ,56.62 ,0.00 ,3829.20 ,0.00 
2013/7/15,2.86 ,2307.30 ,65.97 ,1.33 ,3493.44 ,46.62 ,3.55 ,1604.66 ,56.99 ,0.00 ,3923.38 ,0.00 
2013/7/16,2.87 ,2317.85 ,66.45 ,1.31 ,3536.31 ,46.50 ,3.58 ,1606.34 ,57.53 ,0.00 ,3966.64 ,0.00 
2013/7/17,2.90 ,2282.84 ,66.21 ,1.33 ,3485.07 ,46.47 ,3.61 ,1582.14 ,57.17 ,0.00 ,3908.83 ,0.00 
2013/7/18,2.95 ,2245.33 ,66.20 ,1.34 ,3481.20 ,46.55 ,3.68 ,1549.35 ,57.01 ,0.00 ,3911.20 ,0.00 
2013/7/19,3.00 ,2190.48 ,65.61 ,1.37 ,3394.31 ,46.55 ,3.73 ,1511.40 ,56.31 ,0.00 ,3832.16 ,0.00 
2013/7/22,2.99 ,2202.19 ,65.82 ,1.34 ,3461.28 ,46.53 ,3.73 ,1514.05 ,56.41 ,0.00 ,3919.30 ,0.00 
2013/7/23,2.93 ,2265.85 ,66.44 ,1.31 ,3544.97 ,46.54 ,3.67 ,1555.84 ,57.07 ,0.00 ,4015.22 ,0.00 
2013/7/24,2.95 ,2249.15 ,66.44 ,1.31 ,3566.28 ,46.58 ,3.71 ,1532.35 ,56.83 ,0.00 ,4057.86 ,0.00 
2013/7/25,2.97 ,2237.68 ,66.39 ,1.33 ,3498.24 ,46.57 ,3.72 ,1529.30 ,56.87 ,0.00 ,3963.31 ,0.00 
2013/7/26,2.98 ,2224.01 ,66.36 ,1.33 ,3494.16 ,46.40 ,3.74 ,1521.61 ,56.88 ,0.00 ,3968.93 ,0.00 
2013/7/29,3.04 ,2175.97 ,66.10 ,1.35 ,3426.59 ,46.42 ,3.80 ,1484.21 ,56.44 ,0.00 ,3901.10 ,0.00 
2013/7/30,3.01 ,2189.39 ,65.92 ,1.36 ,3411.22 ,46.39 ,3.76 ,1500.94 ,56.42 ,0.00 ,3882.32 ,0.00 
2013/7/31,3.01 ,2193.02 ,66.00 ,1.35 ,3430.74 ,46.37 ,3.75 ,1504.17 ,56.42 ,0.00 ,3900.49 ,0.00 
2013/8/1,2.96 ,2245.36 ,66.43 ,1.32 ,3521.15 ,46.41 ,3.70 ,1537.81 ,56.93 ,0.00 ,4026.47 ,0.00 
2013/8/2,2.95 ,2247.26 ,66.28 ,1.32 ,3533.61 ,46.69 ,3.69 ,1536.51 ,56.71 ,0.00 ,4038.77 ,0.00 
2013/8/5,2.92 ,2278.33 ,66.50 ,1.31 ,3592.54 ,47.01 ,3.66 ,1554.19 ,56.94 ,0.00 ,4102.13 ,0.00 
2013/8/6,2.91 ,2293.64 ,66.67 ,1.29 ,3631.12 ,46.99 ,3.67 ,1556.30 ,57.04 ,0.00 ,4146.67 ,0.00 
2013/8/7,2.93 ,2280.62 ,66.74 ,1.31 ,3596.32 ,46.98 ,3.69 ,1551.16 ,57.18 ,0.00 ,4094.32 ,0.00 
2013/8/8,2.93 ,2276.78 ,66.69 ,1.30 ,3605.85 ,46.99 ,3.69 ,1544.62 ,57.03 ,0.00 ,4113.07 ,0.00 
2013/8/9,2.92 ,2286.01 ,66.64 ,1.30 ,3618.74 ,47.00 ,3.68 ,1553.04 ,57.12 ,0.00 ,4113.43 ,0.00 
2013/8/12,2.84 ,2352.79 ,66.91 ,1.28 ,3676.20 ,47.20 ,3.58 ,1610.27 ,57.62 ,0.00 ,4146.49 ,0.00 
2013/8/13,2.85 ,2359.07 ,67.13 ,1.28 ,3695.55 ,47.17 ,3.57 ,1619.74 ,57.83 ,0.00 ,4178.39 ,0.00 
2013/8/14,2.85 ,2349.08 ,67.03 ,1.28 ,3681.08 ,47.20 ,3.58 ,1610.22 ,57.68 ,0.00 ,4175.45 ,0.00 
2013/8/15,2.88 ,2321.58 ,66.83 ,1.30 ,3631.32 ,47.19 ,3.61 ,1595.15 ,57.52 ,0.00 ,4131.23 ,0.00 
2013/8/16,2.89 ,2304.14 ,66.53 ,1.33 ,3554.35 ,47.16 ,3.60 ,1592.79 ,57.38 ,0.00 ,4032.38 ,0.00 
2013/8/19,2.87 ,2331.43 ,66.92 ,1.31 ,3609.03 ,47.14 ,3.59 ,1608.87 ,57.74 ,0.00 ,4129.44 ,0.00 
2013/8/20,2.89 ,2312.47 ,66.89 ,1.31 ,3599.64 ,47.13 ,3.62 ,1594.54 ,57.68 ,0.00 ,4141.53 ,0.00 
2013/8/21,2.90 ,2308.59 ,66.84 ,1.30 ,3627.50 ,47.02 ,3.63 ,1588.08 ,57.58 ,0.00 ,4164.53 ,0.00 
2013/8/22,2.91 ,2303.93 ,66.93 ,1.29 ,3636.47 ,46.98 ,3.64 ,1582.62 ,57.59 ,0.00 ,4181.36 ,0.00 
2013/8/23,2.92 ,2286.93 ,66.83 ,1.29 ,3627.97 ,46.94 ,3.67 ,1566.29 ,57.43 ,0.00 ,4184.82 ,0.00 
2013/8/26,2.87 ,2335.62 ,67.10 ,1.27 ,3703.59 ,46.92 ,3.61 ,1601.38 ,57.80 ,0.00 ,4267.37 ,0.00 
2013/8/27,2.87 ,2340.88 ,67.24 ,1.26 ,3732.10 ,46.89 ,3.62 ,1602.00 ,57.93 ,0.00 ,4306.38 ,0.00 
2013/8/28,2.88 ,2328.06 ,67.13 ,1.26 ,3703.92 ,46.85 ,3.63 ,1592.87 ,57.80 ,0.00 ,4257.97 ,0.00 
2013/8/29,2.89 ,2318.31 ,67.10 ,1.27 ,3701.08 ,46.84 ,3.64 ,1588.15 ,57.81 ,0.00 ,4260.79 ,0.00 
2013/8/30,2.90 ,2313.91 ,67.02 ,1.28 ,3664.15 ,46.84 ,3.64 ,1589.78 ,57.82 ,0.00 ,4181.74 ,0.00 
2013/9/2,2.89 ,2320.34 ,67.10 ,1.27 ,3689.96 ,46.83 ,3.64 ,1591.93 ,57.93 ,0.00 ,4218.40 ,0.00 
2013/9/3,2.86 ,2354.50 ,67.28 ,1.25 ,3744.87 ,46.81 ,3.60 ,1614.54 ,58.09 ,0.00 ,4290.87 ,0.00 
2013/9/4,2.85 ,2350.70 ,67.09 ,1.25 ,3755.24 ,46.81 ,3.59 ,1613.54 ,57.90 ,0.00 ,4298.86 ,0.00 
2013/9/5,2.86 ,2341.74 ,66.98 ,1.24 ,3762.57 ,46.80 ,3.59 ,1609.60 ,57.81 ,0.00 ,4324.73 ,0.00 
2013/9/6,2.83 ,2357.78 ,66.82 ,1.23 ,3792.83 ,46.73 ,3.55 ,1625.85 ,57.70 ,0.00 ,4352.46 ,0.00 
2013/9/9,2.73 ,2440.61 ,66.59 ,1.22 ,3831.93 ,46.66 ,3.39 ,1713.39 ,58.08 ,0.00 ,4369.94 ,0.00 
2013/9/10,2.71 ,2474.89 ,67.00 ,1.20 ,3870.92 ,46.63 ,3.37 ,1737.58 ,58.53 ,0.00 ,4387.76 ,0.00 
2013/9/11,2.70 ,2482.89 ,67.06 ,1.22 ,3834.26 ,46.60 ,3.36 ,1741.32 ,58.48 ,0.00 ,4318.72 ,0.00 
2013/9/12,2.68 ,2507.46 ,67.19 ,1.21 ,3845.07 ,46.57 ,3.33 ,1772.66 ,58.98 ,0.00 ,4319.11 ,0.00 
2013/9/13,2.70 ,2488.90 ,67.28 ,1.21 ,3849.82 ,46.54 ,3.37 ,1749.24 ,58.87 ,0.00 ,4352.95 ,0.00 
2013/9/16,2.71 ,2478.39 ,67.22 ,1.21 ,3854.21 ,46.48 ,3.38 ,1738.25 ,58.75 ,0.00 ,4384.99 ,0.00 
2013/9/17,2.77 ,2427.32 ,67.12 ,1.23 ,3786.29 ,46.46 ,3.45 ,1698.63 ,58.55 ,0.00 ,4325.06 ,0.00 
2013/9/18,2.75 ,2432.51 ,66.90 ,1.21 ,3822.12 ,46.42 ,3.46 ,1700.59 ,58.79 ,0.00 ,4366.14 ,0.00 
2013/9/23,2.72 ,2472.29 ,67.15 ,1.19 ,3899.63 ,46.40 ,3.44 ,1713.08 ,58.86 ,0.00 ,4455.81 ,0.00 
2013/9/24,2.74 ,2443.89 ,67.05 ,1.19 ,3903.52 ,46.36 ,3.49 ,1673.56 ,58.39 ,0.00 ,4468.38 ,0.00 
2013/9/25,2.76 ,2429.03 ,67.00 ,1.19 ,3889.22 ,46.31 ,3.51 ,1661.61 ,58.27 ,0.00 ,4447.11 ,0.00 
2013/9/26,2.80 ,2384.44 ,66.82 ,1.22 ,3808.22 ,46.37 ,3.56 ,1632.70 ,58.11 ,0.00 ,4378.19 ,0.00 
2013/9/27,2.79 ,2394.97 ,66.89 ,1.22 ,3822.76 ,46.58 ,3.55 ,1639.15 ,58.20 ,0.00 ,4393.74 ,0.00 
2013/9/30,2.78 ,2409.04 ,66.97 ,1.20 ,3872.89 ,46.56 ,3.54 ,1643.06 ,58.17 ,0.00 ,4470.45 ,0.00 
2013/10/8,2.75 ,2441.81 ,67.20 ,1.18 ,3938.07 ,46.59 ,3.51 ,1659.71 ,58.25 ,0.00 ,4542.31 ,0.00 
2013/10/9,2.74 ,2453.58 ,67.29 ,1.17 ,3981.06 ,46.56 ,3.50 ,1668.48 ,58.47 ,0.00 ,4612.13 ,0.00 
2013/10/10,2.77 ,2429.32 ,67.23 ,1.18 ,3959.63 ,46.57 ,3.55 ,1637.93 ,58.13 ,0.00 ,4567.57 ,0.00 
2013/10/11,2.73 ,2468.51 ,67.28 ,1.16 ,4026.92 ,46.58 ,3.50 ,1669.27 ,58.40 ,0.00 ,4613.58 ,0.00 
2013/10/14,2.72 ,2472.54 ,67.26 ,1.14 ,4068.32 ,46.58 ,3.50 ,1662.17 ,58.19 ,0.00 ,4665.91 ,0.00 
2013/10/15,2.73 ,2467.52 ,67.41 ,1.14 ,4074.08 ,46.57 ,3.52 ,1656.26 ,58.24 ,0.00 ,4662.77 ,0.00 
2013/10/16,2.77 ,2421.37 ,67.04 ,1.18 ,3963.21 ,46.62 ,3.55 ,1634.22 ,57.99 ,0.00 ,4518.72 ,0.00 
2013/10/17,2.77 ,2413.33 ,66.91 ,1.18 ,3956.97 ,46.66 ,3.56 ,1627.18 ,57.86 ,0.00 ,4517.77 ,0.00 
2013/10/18,2.76 ,2426.05 ,67.08 ,1.17 ,3970.64 ,46.64 ,3.55 ,1636.80 ,58.07 ,0.00 ,4549.99 ,0.00 
2013/10/21,2.73 ,2471.32 ,67.36 ,1.15 ,4069.03 ,46.64 ,3.52 ,1657.58 ,58.27 ,0.00 ,4673.76 ,0.00 
2013/10/22,2.75 ,2445.89 ,67.22 ,1.16 ,4026.52 ,46.64 ,3.54 ,1640.07 ,58.09 ,0.00 ,4621.39 ,0.00 
2013/10/23,2.77 ,2418.49 ,67.06 ,1.19 ,3924.22 ,46.57 ,3.55 ,1638.50 ,58.25 ,0.00 ,4504.00 ,0.00 
2013/10/24,2.80 ,2400.51 ,67.16 ,1.19 ,3898.16 ,46.53 ,3.59 ,1621.61 ,58.24 ,0.00 ,4469.64 ,0.00 
2013/10/25,2.83 ,2368.56 ,67.10 ,1.22 ,3821.78 ,46.56 ,3.62 ,1611.52 ,58.34 ,0.00 ,4388.61 ,0.00 
2013/10/28,2.83 ,2365.95 ,67.00 ,1.22 ,3808.70 ,46.55 ,3.62 ,1610.69 ,58.25 ,0.00 ,4384.39 ,0.00 
2013/10/29,2.82 ,2372.05 ,66.84 ,1.26 ,3703.86 ,46.51 ,3.57 ,1633.72 ,58.35 ,0.00 ,4269.66 ,0.00 
2013/10/30,2.78 ,2407.47 ,66.90 ,1.24 ,3764.45 ,46.50 ,3.52 ,1653.42 ,58.25 ,0.00 ,4335.59 ,0.00 
2013/10/31,2.80 ,2373.72 ,66.46 ,1.25 ,3713.83 ,46.54 ,3.54 ,1631.05 ,57.74 ,0.00 ,4270.97 ,0.00 
2013/11/1,2.78 ,2384.96 ,66.41 ,1.26 ,3702.45 ,46.54 ,3.52 ,1644.75 ,57.86 ,0.00 ,4240.21 ,0.00 
2013/11/4,2.79 ,2380.45 ,66.39 ,1.25 ,3728.19 ,46.49 ,3.53 ,1638.51 ,57.79 ,0.00 ,4267.37 ,0.00 
2013/11/5,2.79 ,2383.77 ,66.41 ,1.23 ,3777.40 ,46.47 ,3.53 ,1633.66 ,57.67 ,0.00 ,4340.39 ,0.00 
2013/11/6,2.81 ,2353.57 ,66.14 ,1.24 ,3737.11 ,46.47 ,3.55 ,1614.21 ,57.29 ,0.00 ,4303.90 ,0.00 
2013/11/7,2.82 ,2340.55 ,65.93 ,1.26 ,3685.04 ,46.48 ,3.55 ,1610.58 ,57.15 ,0.00 ,4246.21 ,0.00 
2013/11/8,2.84 ,2307.95 ,65.65 ,1.28 ,3629.94 ,46.47 ,3.58 ,1587.44 ,56.84 ,0.00 ,4186.18 ,0.00 
2013/11/11,2.84 ,2315.89 ,65.68 ,1.28 ,3645.84 ,46.52 ,3.58 ,1591.14 ,56.92 ,0.00 ,4213.14 ,0.00 
2013/11/12,2.82 ,2340.00 ,65.88 ,1.26 ,3680.54 ,46.49 ,3.55 ,1610.78 ,57.15 ,0.00 ,4248.37 ,0.00 
2013/11/13,2.87 ,2288.12 ,65.62 ,1.29 ,3611.76 ,46.45 ,3.62 ,1569.25 ,56.75 ,0.00 ,4173.50 ,0.00 
2013/11/14,2.85 ,2304.50 ,65.79 ,1.27 ,3659.83 ,46.42 ,3.62 ,1572.73 ,56.86 ,0.00 ,4242.91 ,0.00 
2013/11/15,2.81 ,2350.73 ,66.12 ,1.24 ,3736.45 ,46.43 ,3.56 ,1604.82 ,57.19 ,0.00 ,4324.29 ,0.00 
2013/11/18,2.73 ,2428.90 ,66.43 ,1.21 ,3827.88 ,46.41 ,3.45 ,1675.16 ,57.74 ,0.00 ,4421.24 ,0.00 
2013/11/19,2.75 ,2412.16 ,66.24 ,1.21 ,3840.37 ,46.50 ,3.46 ,1659.53 ,57.37 ,0.00 ,4446.49 ,0.00 
2013/11/20,2.73 ,2424.85 ,66.24 ,1.20 ,3878.58 ,46.50 ,3.45 ,1663.76 ,57.35 ,0.00 ,4486.61 ,0.00 
2013/11/21,2.73 ,2409.99 ,65.90 ,1.20 ,3865.41 ,46.49 ,3.45 ,1648.09 ,56.79 ,0.00 ,4478.39 ,0.00 
2013/11/22,2.74 ,2397.96 ,65.72 ,1.21 ,3842.76 ,46.51 ,3.45 ,1642.50 ,56.69 ,0.00 ,4467.83 ,0.00 
2013/11/25,2.76 ,2388.63 ,65.89 ,1.21 ,3839.60 ,46.53 ,3.48 ,1633.78 ,56.86 ,0.00 ,4473.54 ,0.00 
2013/11/26,2.77 ,2387.42 ,66.02 ,1.21 ,3845.68 ,46.55 ,3.50 ,1630.94 ,57.02 ,0.00 ,4490.51 ,0.00 
2013/11/27,2.74 ,2414.48 ,66.24 ,1.20 ,3889.76 ,46.54 ,3.47 ,1648.79 ,57.29 ,0.00 ,4559.45 ,0.00 
2013/11/28,2.72 ,2439.53 ,66.33 ,1.19 ,3922.67 ,46.53 ,3.44 ,1664.63 ,57.33 ,0.00 ,4587.69 ,0.00 
2013/11/29,2.72 ,2438.94 ,66.42 ,1.18 ,3946.38 ,46.41 ,3.45 ,1661.41 ,57.36 ,0.00 ,4643.30 ,0.00 
2013/12/2,2.71 ,2418.79 ,65.61 ,1.23 ,3770.87 ,46.48 ,3.38 ,1678.87 ,56.83 ,0.00 ,4354.57 ,0.00 
2013/12/3,2.70 ,2442.78 ,66.00 ,1.20 ,3859.96 ,46.47 ,3.40 ,1681.51 ,57.12 ,0.00 ,4427.71 ,0.00 
2013/12/4,2.68 ,2475.14 ,66.24 ,1.18 ,3933.00 ,46.44 ,3.37 ,1699.18 ,57.29 ,0.00 ,4465.71 ,0.00 
2013/12/5,2.69 ,2468.20 ,66.30 ,1.18 ,3928.72 ,46.41 ,3.39 ,1692.38 ,57.31 ,0.00 ,4436.97 ,0.00 
2013/12/6,2.70 ,2452.29 ,66.11 ,1.19 ,3918.78 ,46.46 ,3.40 ,1675.26 ,57.02 ,0.00 ,4430.06 ,0.00 
2013/12/9,2.70 ,2450.87 ,66.15 ,1.18 ,3947.70 ,46.42 ,3.41 ,1669.87 ,56.95 ,0.00 ,4494.50 ,0.00 
2013/12/10,2.70 ,2453.32 ,66.28 ,1.17 ,3950.49 ,46.41 ,3.42 ,1670.55 ,57.15 ,0.00 ,4491.97 ,0.00 
2013/12/11,2.74 ,2412.76 ,66.22 ,1.19 ,3906.78 ,46.41 ,3.48 ,1639.18 ,57.05 ,0.00 ,4465.05 ,0.00 
2013/12/12,2.75 ,2410.02 ,66.24 ,1.18 ,3916.96 ,46.39 ,3.49 ,1631.91 ,56.98 ,0.00 ,4507.55 ,0.00 
2013/12/13,2.76 ,2406.64 ,66.42 ,1.18 ,3925.43 ,46.30 ,3.51 ,1626.41 ,57.10 ,0.00 ,4520.79 ,0.00 
2013/12/16,2.76 ,2367.92 ,65.35 ,1.22 ,3857.72 ,47.04 ,3.50 ,1602.46 ,56.06 ,0.00 ,4460.13 ,0.00 
2013/12/17,2.77 ,2356.38 ,65.33 ,1.23 ,3834.03 ,47.00 ,3.51 ,1597.27 ,56.06 ,0.00 ,4433.70 ,0.00 
2013/12/18,2.78 ,2357.23 ,65.44 ,1.23 ,3834.05 ,47.02 ,3.51 ,1598.68 ,56.15 ,0.00 ,4429.14 ,0.00 
2013/12/19,2.80 ,2332.41 ,65.29 ,1.24 ,3795.02 ,47.00 ,3.54 ,1580.11 ,55.95 ,0.00 ,4393.52 ,0.00 
2013/12/20,2.87 ,2278.14 ,65.34 ,1.25 ,3747.00 ,47.02 ,3.62 ,1537.41 ,55.60 ,0.00 ,4348.80 ,0.00 
2013/12/23,2.85 ,2284.60 ,65.06 ,1.26 ,3742.74 ,47.01 ,3.60 ,1541.27 ,55.51 ,0.00 ,4334.17 ,0.00 
2013/12/24,2.85 ,2288.25 ,65.11 ,1.25 ,3768.70 ,47.00 ,3.61 ,1539.60 ,55.50 ,0.00 ,4379.27 ,0.00 
2013/12/25,2.83 ,2305.11 ,65.20 ,1.23 ,3808.45 ,46.97 ,3.59 ,1547.36 ,55.52 ,0.00 ,4454.30 ,0.00 
2013/12/26,2.87 ,2265.33 ,65.09 ,1.26 ,3743.13 ,46.99 ,3.64 ,1524.88 ,55.43 ,0.00 ,4375.16 ,0.00 
2013/12/27,2.83 ,2303.48 ,65.29 ,1.24 ,3800.77 ,46.97 ,3.59 ,1550.22 ,55.69 ,0.00 ,4455.35 ,0.00 
2013/12/30,2.85 ,2299.46 ,65.43 ,1.23 ,3813.00 ,46.98 ,3.60 ,1547.92 ,55.79 ,0.00 ,4487.49 ,0.00 
2013/12/31,2.81 ,2330.03 ,65.56 ,1.23 ,3829.10 ,46.98 ,3.56 ,1574.78 ,56.10 ,0.00 ,4482.86 ,0.00 
2014/1/2,2.82 ,2321.98 ,65.58 ,1.22 ,3847.88 ,46.96 ,3.59 ,1561.10 ,55.97 ,0.00 ,4539.50 ,0.00 
2014/1/3,2.86 ,2290.78 ,65.49 ,1.23 ,3816.32 ,46.93 ,3.63 ,1536.07 ,55.75 ,0.00 ,4531.75 ,0.00 
2014/1/6,2.90 ,2238.64 ,64.96 ,1.26 ,3710.90 ,46.90 ,3.65 ,1512.93 ,55.26 ,0.00 ,4411.27 ,0.00 
2014/1/7,2.91 ,2238.00 ,65.07 ,1.26 ,3733.66 ,46.91 ,3.66 ,1510.65 ,55.29 ,0.00 ,4458.56 ,0.00 
2014/1/8,2.91 ,2241.91 ,65.22 ,1.25 ,3738.21 ,46.90 ,3.67 ,1515.33 ,55.54 ,0.00 ,4504.67 ,0.00 
2014/1/9,2.93 ,2222.22 ,65.16 ,1.27 ,3696.02 ,46.84 ,3.69 ,1503.88 ,55.54 ,0.00 ,4431.80 ,0.00 
2014/1/10,2.95 ,2204.85 ,65.02 ,1.29 ,3628.63 ,46.79 ,3.70 ,1498.27 ,55.50 ,0.00 ,4354.84 ,0.00 
2014/1/13,2.95 ,2193.68 ,64.72 ,1.29 ,3612.02 ,46.76 ,3.70 ,1494.61 ,55.34 ,0.00 ,4346.71 ,0.00 
2014/1/14,2.93 ,2212.85 ,64.87 ,1.27 ,3683.53 ,46.76 ,3.69 ,1499.29 ,55.29 ,0.00 ,4447.70 ,0.00 
2014/1/15,2.94 ,2208.94 ,64.93 ,1.26 ,3708.14 ,46.79 ,3.71 ,1488.51 ,55.25 ,0.00 ,4494.10 ,0.00 
2014/1/16,2.94 ,2211.84 ,65.08 ,1.26 ,3714.31 ,46.79 ,3.71 ,1493.09 ,55.46 ,0.00 ,4485.27 ,0.00 
2014/1/17,2.97 ,2178.49 ,64.65 ,1.27 ,3671.92 ,46.75 ,3.73 ,1475.67 ,54.97 ,0.00 ,4445.20 ,0.00 
2014/1/20,2.99 ,2165.99 ,64.75 ,1.28 ,3644.13 ,46.76 ,3.76 ,1464.84 ,55.01 ,0.00 ,4415.10 ,0.00 
2014/1/21,2.97 ,2187.41 ,64.93 ,1.26 ,3700.11 ,46.74 ,3.74 ,1478.88 ,55.25 ,0.00 ,4486.87 ,0.00 
2014/1/22,2.91 ,2243.80 ,65.27 ,1.23 ,3799.04 ,46.74 ,3.67 ,1514.12 ,55.61 ,0.00 ,4584.08 ,0.00 
2014/1/23,2.93 ,2231.89 ,65.33 ,1.22 ,3825.49 ,46.71 ,3.70 ,1499.03 ,55.53 ,0.00 ,4627.34 ,0.00 
2014/1/24,2.91 ,2245.68 ,65.44 ,1.20 ,3882.67 ,46.70 ,3.70 ,1502.07 ,55.56 ,0.00 ,4695.29 ,0.00 
2014/1/27,2.95 ,2215.92 ,65.38 ,1.20 ,3881.95 ,46.74 ,3.75 ,1478.87 ,55.51 ,0.00 ,4682.05 ,0.00 
2014/1/28,2.94 ,2219.86 ,65.28 ,1.21 ,3873.81 ,46.74 ,3.73 ,1487.80 ,55.55 ,0.00 ,4667.73 ,0.00 
2014/1/29,2.93 ,2227.78 ,65.25 ,1.20 ,3908.45 ,46.74 ,3.72 ,1494.49 ,55.54 ,0.00 ,4730.86 ,0.00 
2014/1/30,2.96 ,2202.45 ,65.17 ,1.20 ,3885.42 ,46.73 ,3.75 ,1477.35 ,55.41 ,0.00 ,4714.68 ,0.00 
2014/2/7,2.95 ,2212.48 ,65.34 ,1.18 ,3957.67 ,46.72 ,3.76 ,1475.34 ,55.44 ,0.00 ,4818.25 ,0.00 
2014/2/10,2.90 ,2267.53 ,65.71 ,1.15 ,4074.63 ,46.75 ,3.70 ,1505.83 ,55.78 ,0.00 ,4943.38 ,0.00 
2014/2/11,2.87 ,2285.56 ,65.62 ,1.14 ,4080.38 ,46.69 ,3.66 ,1528.32 ,55.98 ,0.00 ,4941.81 ,0.00 
2014/2/12,2.87 ,2291.25 ,65.72 ,1.13 ,4125.41 ,46.72 ,3.67 ,1527.00 ,56.05 ,0.00 ,5005.03 ,0.00 
2014/2/13,2.88 ,2279.55 ,65.54 ,1.15 ,4064.42 ,46.74 ,3.67 ,1528.02 ,56.13 ,0.00 ,4901.68 ,0.00 
2014/2/14,2.86 ,2295.58 ,65.68 ,1.13 ,4134.16 ,46.72 ,3.66 ,1534.24 ,56.20 ,0.00 ,5000.59 ,0.00 
2014/2/17,2.84 ,2311.65 ,65.69 ,1.11 ,4212.75 ,46.69 ,3.65 ,1538.11 ,56.06 ,0.00 ,5117.39 ,0.00 
2014/2/18,2.88 ,2282.44 ,65.62 ,1.11 ,4207.70 ,46.75 ,3.70 ,1508.54 ,55.75 ,0.00 ,5120.24 ,0.00 
2014/2/19,2.83 ,2308.66 ,65.44 ,1.11 ,4207.99 ,46.74 ,3.64 ,1533.40 ,55.78 ,0.00 ,5120.14 ,0.00 
2014/2/20,2.84 ,2287.44 ,64.91 ,1.13 ,4149.07 ,46.75 ,3.62 ,1520.14 ,54.96 ,0.00 ,5035.17 ,0.00 
