,IC00C1.CFE,IC00C2.CFE,IC00C3.CFE,IC00C4.CFE
2023/1/11,6050.20 ,6046.40 ,6043.40 ,5978.00 
2023/1/12,6035.00 ,6036.80 ,6026.00 ,5960.00 
2023/1/13,6040.20 ,6046.00 ,6037.00 ,5960.80 
2023/1/16,6088.00 ,6093.40 ,6080.00 ,6016.20 
2023/1/17,6143.00 ,6144.80 ,6146.00 ,6078.20 
2023/1/18,6149.00 ,6158.00 ,6160.00 ,6089.00 
2023/1/19,6145.00 ,6167.00 ,6159.40 ,6100.00 
2023/1/20,6216.00 ,6256.60 ,6250.20 ,6180.00 
2023/1/30,6356.00 ,6372.40 ,6280.00 ,6276.80 
2023/1/31,6280.00 ,6272.60 ,6200.00 ,6145.80 
2023/2/1,6313.00 ,6319.20 ,6250.00 ,6188.20 
2023/2/2,6385.00 ,6373.20 ,6304.20 ,6248.20 
2023/2/3,6360.00 ,6355.00 ,6290.00 ,6223.60 
2023/2/6,6315.80 ,6291.60 ,6240.00 ,6175.00 
2023/2/7,6319.80 ,6326.00 ,6255.20 ,6198.60 
2023/2/8,6320.40 ,6322.00 ,6260.00 ,6199.80 
2023/2/9,6262.20 ,6241.00 ,6197.80 ,6131.60 
2023/2/10,6352.00 ,6355.00 ,6300.00 ,6231.60 
2023/2/13,6330.20 ,6326.40 ,6265.80 ,6203.20 
2023/2/14,6384.60 ,6369.80 ,6305.80 ,6242.00 
2023/2/15,6386.00 ,6387.40 ,6315.80 ,6250.20 
2023/2/16,6383.20 ,6368.80 ,6315.00 ,6244.00 
2023/2/17,6297.20 ,6294.40 ,6220.00 ,6176.80 
2023/2/20,6250.00 ,6245.20 ,6198.00 ,6130.40 
2023/2/21,6334.80 ,6308.80 ,6269.00 ,6192.40 
2023/2/22,6335.00 ,6321.00 ,6270.00 ,6200.20 
2023/2/23,6367.20 ,6357.60 ,6297.60 ,6238.40 
2023/2/24,6358.20 ,6347.40 ,6282.60 ,6213.60 
2023/2/27,6322.20 ,6309.00 ,6250.00 ,6180.00 
2023/2/28,6321.20 ,6305.60 ,6255.80 ,6175.00 
2023/3/1,6350.80 ,6332.80 ,6287.60 ,6206.80 
2023/3/2,6389.80 ,6360.00 ,6319.00 ,6247.20 
2023/3/3,6391.40 ,6380.20 ,6327.20 ,6250.20 
2023/3/6,6372.00 ,6360.40 ,6310.60 ,6238.80 
2023/3/7,6364.00 ,6353.00 ,6292.40 ,6213.20 
2023/3/8,6258.00 ,6251.60 ,6200.80 ,6118.00 
2023/3/9,6300.00 ,6283.80 ,6218.40 ,6145.00 
2023/3/10,6246.20 ,6234.00 ,6178.00 ,6090.00 
2023/3/13,6204.20 ,6185.20 ,6130.00 ,6034.80 
2023/3/14,6234.20 ,6219.40 ,6147.00 ,6065.60 
2023/3/15,6218.00 ,6214.00 ,6140.20 ,6056.40 
2023/3/16,6198.80 ,6192.60 ,6101.00 ,6016.40 
2023/3/17,6184.80 ,6177.20 ,6108.00 ,6014.80 
2023/3/20,6199.00 ,6172.40 ,6128.40 ,6045.00 
2023/3/21,6180.00 ,6166.60 ,6129.80 ,6042.00 
2023/3/22,6244.00 ,6216.60 ,6180.00 ,6098.60 
2023/3/23,6253.00 ,6236.00 ,6200.40 ,6101.60 
2023/3/24,6299.00 ,6280.20 ,6241.00 ,6157.80 
2023/3/27,6304.20 ,6285.20 ,6243.60 ,6161.00 
2023/3/28,6296.00 ,6285.80 ,6245.20 ,6168.00 
2023/3/29,6303.00 ,6279.40 ,6252.60 ,6168.00 
2023/3/30,6267.00 ,6240.60 ,6213.40 ,6136.00 
2023/3/31,6309.80 ,6298.80 ,6259.20 ,6175.00 
2023/4/3,6357.20 ,6331.60 ,6298.80 ,6216.20 
2023/4/4,6412.00 ,6407.80 ,6350.00 ,6270.20 
2023/4/6,6400.00 ,6380.00 ,6340.00 ,6262.40 
2023/4/7,6419.00 ,6400.80 ,6351.80 ,6276.60 
2023/4/10,6469.00 ,6444.20 ,6406.00 ,6327.00 
2023/4/11,6423.00 ,6415.60 ,6369.80 ,6291.40 
2023/4/12,6410.00 ,6399.20 ,6360.40 ,6293.80 
2023/4/13,6429.00 ,6408.60 ,6368.20 ,6298.80 
2023/4/14,6422.00 ,6412.20 ,6379.60 ,6304.60 
2023/4/17,6417.20 ,6401.60 ,6367.00 ,6289.80 
2023/4/18,6453.40 ,6437.20 ,6399.20 ,6320.80 
2023/4/19,6439.00 ,6418.60 ,6384.20 ,6316.20 
2023/4/20,6408.00 ,6396.80 ,6356.00 ,6278.80 
2023/4/21,6414.00 ,6384.40 ,6355.00 ,6286.00 
2023/4/24,6245.40 ,6224.60 ,6145.20 ,6080.00 
2023/4/25,6210.00 ,6164.00 ,6100.80 ,6051.20 
2023/4/26,6096.80 ,6063.60 ,6000.20 ,5955.60 
2023/4/27,6124.00 ,6096.40 ,6035.00 ,5981.80 
2023/4/28,6171.60 ,6143.40 ,6077.40 ,6039.00 
2023/5/4,6239.60 ,6212.00 ,6152.00 ,6103.00 
2023/5/5,6254.60 ,6232.00 ,6168.40 ,6118.80 
2023/5/8,6205.00 ,6180.00 ,6117.00 ,6072.00 
2023/5/9,6231.20 ,6200.00 ,6144.40 ,6096.80 
2023/5/10,6170.60 ,6140.00 ,6084.60 ,6041.80 
2023/5/11,6195.00 ,6155.60 ,6098.80 ,6048.80 
2023/5/12,6141.20 ,6119.60 ,6059.00 ,6010.80 
2023/5/15,6090.00 ,6065.80 ,6010.20 ,5967.20 
2023/5/16,6148.00 ,6131.20 ,6084.00 ,6035.80 
2023/5/17,6103.00 ,6111.00 ,6045.20 ,5990.00 
2023/5/18,6132.00 ,6100.00 ,6058.80 ,6003.80 
2023/5/19,6113.80 ,6093.00 ,6040.40 ,5991.80 
2023/5/22,6107.00 ,6095.80 ,6060.00 ,6007.00 
2023/5/23,6093.00 ,6073.60 ,6051.20 ,6006.40 
2023/5/24,6016.20 ,6001.80 ,5981.00 ,5924.80 
2023/5/25,5994.20 ,5970.40 ,5948.00 ,5901.40 
2023/5/26,5961.00 ,5941.80 ,5916.00 ,5874.00 
2023/5/29,6040.00 ,6023.20 ,6005.20 ,5945.40 
2023/5/30,6005.60 ,5992.80 ,5961.40 ,5916.00 
2023/5/31,6029.80 ,6020.00 ,5995.00 ,5948.00 
2023/6/1,6018.00 ,6004.60 ,5982.20 ,5926.80 
2023/6/2,6070.80 ,6040.20 ,6027.80 ,5990.00 
2023/6/5,6094.60 ,6078.40 ,6053.00 ,6000.80 
2023/6/6,6077.20 ,6061.20 ,6030.40 ,5986.00 
2023/6/7,5972.00 ,5960.00 ,5934.40 ,5881.20 
2023/6/8,5965.00 ,5939.40 ,5923.40 ,5876.60 
2023/6/9,5963.40 ,5945.20 ,5930.60 ,5874.00 
2023/6/12,5999.40 ,5978.40 ,5963.80 ,5910.00 
2023/6/13,6010.80 ,5987.40 ,5974.00 ,5921.40 
2023/6/14,6042.40 ,6038.20 ,6009.40 ,5958.40 
2023/6/15,6060.00 ,6038.00 ,6010.20 ,5961.80 
2023/6/16,6098.80 ,6080.00 ,6065.00 ,6010.40 
2023/6/19,6129.20 ,6119.60 ,6102.00 ,6058.20 
2023/6/20,6107.40 ,6091.80 ,6086.00 ,6037.60 
2023/6/21,6088.80 ,6073.40 ,6072.40 ,6017.40 
2023/6/26,5950.00 ,5941.80 ,5923.20 ,5870.00 
2023/6/27,5900.60 ,5893.00 ,5886.20 ,5845.00 
2023/6/28,5918.00 ,5902.20 ,5891.40 ,5860.00 
2023/6/29,5925.00 ,5914.00 ,5903.00 ,5865.60 
2023/6/30,5917.80 ,5909.40 ,5898.00 ,5860.20 
2023/7/3,5999.60 ,5989.20 ,5978.20 ,5933.60 
2023/7/4,6020.20 ,6011.60 ,5998.80 ,5957.80 
2023/7/5,6029.20 ,6021.60 ,6009.20 ,5964.20 
2023/7/6,5997.60 ,5986.60 ,5980.60 ,5934.80 
2023/7/7,5955.00 ,5949.60 ,5940.00 ,5889.60 
2023/7/10,5979.00 ,5967.40 ,5949.40 ,5913.00 
2023/7/11,5980.40 ,5968.60 ,5952.00 ,5916.00 
2023/7/12,6025.00 ,6011.00 ,6006.00 ,5960.00 
2023/7/13,5985.00 ,5970.20 ,5960.00 ,5925.00 
2023/7/14,6058.60 ,6047.60 ,6039.80 ,5999.80 
2023/7/17,6011.20 ,5991.80 ,5999.80 ,5958.60 
2023/7/18,6007.60 ,6003.80 ,5986.60 ,5948.80 
2023/7/19,5997.60 ,5981.80 ,5976.60 ,5930.80 
2023/7/20,6000.00 ,5992.00 ,5995.00 ,5949.60 
2023/7/21,5927.80 ,5908.00 ,5904.40 ,5870.00 
2023/7/24,5909.00 ,5911.00 ,5882.20 ,5871.00 
2023/7/25,5987.60 ,5989.20 ,5945.00 ,5918.00 
2023/7/26,6015.40 ,6015.00 ,5983.40 ,5955.00 
2023/7/27,6006.00 ,6010.00 ,5980.00 ,5954.00 
2023/7/28,5951.00 ,5936.40 ,5921.00 ,5908.00 
2023/7/31,6095.00 ,6065.20 ,6033.20 ,6033.80 
2023/8/1,6100.00 ,6091.80 ,6072.00 ,6050.00 
2023/8/2,6091.60 ,6088.80 ,6074.20 ,6054.20 
2023/8/3,6064.00 ,6056.20 ,6041.00 ,6025.20 
2023/8/4,6129.00 ,6130.00 ,6100.00 ,6088.20 
2023/8/7,6116.00 ,6115.00 ,6107.60 ,6086.00 
2023/8/8,6090.60 ,6096.60 ,6084.80 ,6059.00 
2023/8/9,6068.00 ,6070.00 ,6070.40 ,6042.00 
2023/8/10,6029.80 ,6046.80 ,6034.20 ,6018.00 
2023/8/11,6032.00 ,6046.00 ,6032.80 ,6022.60 
2023/8/14,5887.00 ,5859.00 ,5861.40 ,5849.80 
2023/8/15,5923.20 ,5935.00 ,5920.00 ,5900.00 
2023/8/16,5863.40 ,5868.00 ,5864.00 ,5849.80 
2023/8/17,5814.60 ,5825.00 ,5820.00 ,5813.20 
2023/8/18,5865.20 ,5886.00 ,5884.00 ,5874.40 
2023/8/21,5774.40 ,5782.00 ,5779.60 ,5774.80 
2023/8/22,5742.80 ,5751.20 ,5742.00 ,5733.20 
2023/8/23,5723.20 ,5730.00 ,5727.60 ,5715.00 
2023/8/24,5659.00 ,5682.40 ,5654.40 ,5654.80 
2023/8/25,5630.00 ,5640.00 ,5631.40 ,5627.20 
2023/8/28,5903.00 ,5894.00 ,5825.00 ,5900.00 
2023/8/29,5640.00 ,5639.80 ,5636.00 ,5628.00 
2023/8/30,5791.00 ,5775.60 ,5790.80 ,5776.00 
2023/8/31,5770.00 ,5770.80 ,5779.20 ,5764.20 
2023/9/1,5758.80 ,5757.60 ,5760.20 ,5750.40 
2023/9/4,5785.20 ,5786.20 ,5775.00 ,5770.20 
2023/9/5,5824.00 ,5822.80 ,5824.40 ,5810.40 
2023/9/6,5777.00 ,5774.80 ,5770.40 ,5755.60 
2023/9/7,5770.00 ,5774.00 ,5771.00 ,5757.20 
2023/9/8,5690.00 ,5679.80 ,5679.60 ,5665.60 
2023/9/11,5711.40 ,5707.80 ,5698.80 ,5680.00 
2023/9/12,5765.80 ,5768.80 ,5756.80 ,5723.60 
2023/9/13,5759.80 ,5767.00 ,5762.00 ,5745.20 
2023/9/14,5710.20 ,5702.00 ,5706.00 ,5695.00 
2023/9/15,5728.00 ,5713.80 ,5715.20 ,5690.40 
2023/9/18,5698.00 ,5692.40 ,5696.00 ,5680.20 
2023/9/19,5733.00 ,5730.00 ,5731.80 ,5714.60 
2023/9/20,5692.00 ,5694.20 ,5692.00 ,5685.20 
2023/9/21,5653.20 ,5657.40 ,5660.00 ,5657.20 
2023/9/22,5622.40 ,5625.20 ,5615.00 ,5615.60 
2023/9/25,5722.00 ,5720.00 ,5717.60 ,5711.20 
2023/9/26,5681.00 ,5686.20 ,5688.00 ,5677.40 
2023/9/27,5670.80 ,5676.60 ,5668.40 ,5661.40 
2023/9/28,5720.20 ,5709.40 ,5718.00 ,5694.80 
2023/10/9,5690.00 ,5696.80 ,5690.20 ,5676.20 
2023/10/10,5680.00 ,5671.60 ,5680.00 ,5656.00 
2023/10/11,5655.00 ,5658.00 ,5652.60 ,5643.80 
2023/10/12,5663.00 ,5646.60 ,5647.60 ,5636.20 
2023/10/13,5646.00 ,5639.80 ,5638.00 ,5630.00 
2023/10/16,5643.60 ,5645.40 ,5649.00 ,5634.00 
2023/10/17,5591.80 ,5600.20 ,5599.80 ,5595.20 
2023/10/18,5578.20 ,5585.20 ,5584.60 ,5567.20 
2023/10/19,5500.00 ,5512.20 ,5507.60 ,5495.00 
2023/10/20,5441.60 ,5461.60 ,5450.00 ,5448.20 
2023/10/23,5411.00 ,5402.00 ,5400.00 ,5383.40 
2023/10/24,5289.60 ,5289.80 ,5264.00 ,5241.40 
2023/10/25,5379.00 ,5350.00 ,5336.80 ,5307.60 
2023/10/26,5327.80 ,5320.00 ,5305.60 ,5273.00 
2023/10/27,5364.00 ,5368.80 ,5343.40 ,5295.20 
2023/10/30,5477.60 ,5470.00 ,5457.80 ,5419.60 
2023/10/31,5534.60 ,5513.80 ,5504.60 ,5466.00 
2023/11/1,5523.60 ,5530.20 ,5507.20 ,5468.40 
2023/11/2,5509.80 ,5512.00 ,5487.80 ,5449.00 
2023/11/3,5469.20 ,5468.00 ,5447.80 ,5402.20 
2023/11/6,5555.00 ,5537.20 ,5528.60 ,5478.80 
2023/11/7,5588.00 ,5581.20 ,5571.00 ,5532.00 
2023/11/8,5589.80 ,5587.60 ,5574.80 ,5535.00 
2023/11/9,5588.00 ,5578.60 ,5570.00 ,5533.20 
2023/11/10,5566.00 ,5554.00 ,5542.60 ,5499.80 
2023/11/13,5570.00 ,5579.60 ,5555.20 ,5495.80 
2023/11/14,5588.00 ,5587.00 ,5547.80 ,5500.00 
2023/11/15,5686.00 ,5662.40 ,5629.80 ,5575.00 
2023/11/16,5634.20 ,5622.00 ,5589.20 ,5528.40 
2023/11/17,5597.80 ,5570.00 ,5533.00 ,5471.60 
2023/11/20,5597.20 ,5588.80 ,5560.00 ,5500.20 
2023/11/21,5648.40 ,5633.00 ,5611.00 ,5537.40 
2023/11/22,5606.60 ,5590.80 ,5560.20 ,5493.80 
2023/11/23,5546.00 ,5535.40 ,5511.20 ,5455.00 
2023/11/24,5598.00 ,5596.00 ,5563.00 ,5509.80 
2023/11/27,5545.00 ,5529.40 ,5506.20 ,5460.40 
2023/11/28,5540.60 ,5522.80 ,5506.60 ,5440.00 
2023/11/29,5559.00 ,5551.80 ,5526.80 ,5455.60 
2023/11/30,5530.60 ,5515.60 ,5489.40 ,5419.40 
2023/12/1,5520.00 ,5497.80 ,5461.00 ,5382.00 
2023/12/4,5545.00 ,5520.20 ,5474.60 ,5391.40 
2023/12/5,5511.00 ,5480.20 ,5440.00 ,5354.40 
2023/12/6,5430.00 ,5401.00 ,5344.20 ,5256.60 
2023/12/7,5458.80 ,5422.00 ,5374.40 ,5278.00 
2023/12/8,5481.00 ,5458.20 ,5420.20 ,5335.00 
2023/12/11,5484.40 ,5454.00 ,5412.60 ,5328.20 
2023/12/12,5548.80 ,5538.00 ,5499.00 ,5418.80 
2023/12/13,5558.00 ,5541.40 ,5497.80 ,5410.20 
2023/12/14,5541.00 ,5513.20 ,5466.00 ,5385.20 
2023/12/15,5514.80 ,5494.40 ,5438.20 ,5355.20 
2023/12/18,5420.20 ,5400.40 ,5381.60 ,5303.00 
2023/12/19,5375.20 ,5368.00 ,5357.80 ,5296.20 
2023/12/20,5390.00 ,5374.80 ,5366.40 ,5282.60 
2023/12/21,5303.00 ,5280.00 ,5281.00 ,5213.80 
2023/12/22,5333.60 ,5321.80 ,5311.80 ,5247.80 
2023/12/25,5323.00 ,5306.80 ,5302.20 ,5227.80 
2023/12/26,5313.00 ,5299.80 ,5285.00 ,5229.80 
2023/12/27,5272.20 ,5264.20 ,5273.20 ,5199.00 
2023/12/28,5277.80 ,5270.00 ,5263.00 ,5196.00 
2023/12/29,5385.80 ,5377.20 ,5374.60 ,5298.60 
2024/1/2,5431.80 ,5418.80 ,5424.00 ,5356.20 
2024/1/3,5383.00 ,5378.00 ,5366.00 ,5312.00 
2024/1/4,5382.40 ,5368.60 ,5360.00 ,5300.00 
2024/1/5,5338.00 ,5326.00 ,5305.00 ,5243.00 
2024/1/8,5275.60 ,5246.40 ,5227.00 ,5172.40 
2024/1/9,5141.20 ,5113.60 ,5094.40 ,5014.00 
2024/1/10,5142.00 ,5114.40 ,5090.00 ,5012.80 
2024/1/11,5142.00 ,5114.40 ,5090.00 ,5012.80 
